city,indicator_group,indicator_name,value,display,unit,year,source,note,severity,display_order
Comrat,housing_burden,Spend >50% of income on housing & utilities,35.9,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",,,1
Bălți,housing_burden,Spend >50% of income on housing & utilities,56.2,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",,,2
Chișinău,housing_burden,Spend >50% of income on housing & utilities,66.7,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",,,3
Cahul,housing_burden,Spend >50% of income on housing & utilities,59.4,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,4
Chișinău,housing_informality,No tenure document†,41.5,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",,,1
Chișinău,housing_informality,Moved ≥ once,53.0,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",,,2
Bălți,housing_informality,Unstable accommodation,41.9,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",,,3
Cahul,housing_informality,Unstable accommodation,22.6,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,4
Comrat,housing_informality,Renters without documents†,35.0,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",Renters only (n=40); a further 22.5% preferred not to answer,,5
Comrat,housing_tenure,Hosted / housed free,51.4,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",,,1
Comrat,housing_tenure,Renting,38.8,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",,,2
Bălți,housing_tenure,Renting,66.7,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",,,3
Cahul,housing_tenure,Renting,70.7,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,4
Comrat,housing_tenure,≥1 housing problem,25.2,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",,,5
Cahul,housing_tenure,≥1 housing problem,22.6,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,6
Cahul,employment_slope,Employed before displacement,68.9,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,1
Cahul,employment_slope,Employed now in Moldova,40.6,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,2
Chișinău,employment_slope,Employed before displacement,59.0,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",,,1
Chișinău,employment_slope,Employed now in Moldova,30.1,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",,,2
Bălți,employment_slope,Employed before displacement,66.7,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",,,1
Bălți,employment_slope,Employed now in Moldova,19.0,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",,,2
Comrat,employment_slope,Employed before displacement,,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",Pre-displacement employment topline not published,,1
Comrat,employment_slope,Employed now in Moldova,11.7,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",,,2
Comrat,care_barrier,Not working due to care responsibilities,25.2,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",,,1
Bălți,care_barrier,Not working due to care responsibilities,22.9,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",,,2
Chișinău,care_barrier,Not working due to care responsibilities,22.0,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",,,3
Cahul,care_barrier,Not working due to care responsibilities,19.8,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,4
Comrat,health_affordability,Could not afford healthcare,12.6,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",,,1
Bălți,health_affordability,Could not afford healthcare,9.5,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",,,2
Chișinău,health_affordability,Could not afford healthcare,3.6,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",,,3
Cahul,health_affordability,Could not afford healthcare,0.9,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",,,4
Comrat,education_enrolment,All school-aged children enrolled,66.7,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)","% of HHs with school-aged children; sub-samples Comrat n=39, Bălți n=56, Chișinău n=244, Cahul n=52",,1
Bălți,education_enrolment,All school-aged children enrolled,64.3,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)","% of HHs with school-aged children; sub-samples Comrat n=39, Bălți n=56, Chișinău n=244, Cahul n=52",,2
Chișinău,education_enrolment,All school-aged children enrolled,75.8,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)","% of HHs with school-aged children; sub-samples Comrat n=39, Bălți n=56, Chișinău n=244, Cahul n=52",,3
Cahul,education_enrolment,All school-aged children enrolled,76.9,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)","% of HHs with school-aged children; sub-samples Comrat n=39, Bălți n=56, Chișinău n=244, Cahul n=52",,4
Comrat,childcare_access,Can access childcare when needed,46.7,7/15,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",Small sub-samples (n=15–92); counts shown where n<30,,1
Bălți,childcare_access,Can access childcare when needed,68.4,13/19,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",Small sub-samples (n=15–92); counts shown where n<30,,2
Chișinău,childcare_access,Can access childcare when needed,62.0,62%,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",Small sub-samples (n=15–92); counts shown where n<30,,3
Cahul,childcare_access,Can access childcare when needed,71.0,71%,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",Small sub-samples (n=15–92); counts shown where n<30,,4
Comrat,information,No information needs reported,39.8,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",Digital-confidence module measured only in Chișinău and Cahul,,1
Bălți,information,No information needs reported,41.0,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",Digital-confidence module measured only in Chișinău and Cahul,,2
Chișinău,information,No information needs reported,49.2,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",Digital-confidence module measured only in Chișinău and Cahul,,3
Cahul,information,No information needs reported,84.9,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",Digital-confidence module measured only in Chișinău and Cahul,,4
